feature,f_classif_score,model
AK092300,12.71665935590245,Logistic Regression
NM_005836,12.693588908587984,Logistic Regression
AL834288,12.679837184578913,Logistic Regression
NM_019061,12.671040602755442,Logistic Regression
XM_931536,12.603590793746722,Logistic Regression
NM_002204,12.59688092221329,Logistic Regression
CR933642,12.579656802961498,Logistic Regression
BC045764,12.55864016996928,Logistic Regression
BC114465,12.547132539322961,Logistic Regression
NM_173530,12.536719974666308,Logistic Regression
AK057904,12.520146162352832,Logistic Regression
XM_376679,12.498934075214018,Logistic Regression
BC000781,12.471529619077643,Logistic Regression
NM_002001,12.445131594348972,Logistic Regression
BC069653,12.413016259616953,Logistic Regression
NM_006510,12.39093148914716,Logistic Regression
NM_139321,12.3155700227772,Logistic Regression
BC002723,12.311996725638808,Logistic Regression
AY163812,12.307662308628126,Logistic Regression
NM_001023587,12.298522889252528,Logistic Regression
NM_017829,12.277411554827468,Logistic Regression
BC011902,12.271962482221998,Logistic Regression
BC020734,12.261150268821922,Logistic Regression
NM_005828,12.25095663297256,Logistic Regression
AK055892,12.247957522485208,Logistic Regression
AY116204,12.238168293968215,Logistic Regression
NM_138794,12.237131133040283,Logistic Regression
AF266283,12.218681181701902,Logistic Regression
AJ006121,12.199129624689673,Logistic Regression
NM_024525,12.186230594040637,Logistic Regression
BC090040,12.17244066192069,Logistic Regression
NM_007047,12.164535719824881,Logistic Regression
NM_024515,12.135134929895488,Logistic Regression
NM_183359,12.122756396170855,Logistic Regression
NM_080628,12.116896153838416,Logistic Regression
NM_016055,12.095850258078514,Logistic Regression
NM_017868,12.088984176524226,Logistic Regression
NM_199336,12.074605571772343,Logistic Regression
BC110796,12.060470772170872,Logistic Regression
BC011894,12.032565559586061,Logistic Regression
NM_182972,12.017660913821556,Logistic Regression
NM_020782,12.014240366164369,Logistic Regression
BC014314,11.987744168031865,Logistic Regression
AY438268,11.976808916471773,Logistic Regression
BC113111,11.966596237057392,Logistic Regression
BC053853,11.963522202214513,Logistic Regression
AK098368,11.96201781049948,Logistic Regression
AY569975,11.95756890187643,Logistic Regression
BC015943,11.888153247029482,Logistic Regression
NM_138698,11.873458611408493,Logistic Regression
BC017859,11.872805117877272,Logistic Regression
NM_017854,11.851239596074436,Logistic Regression
XM_928142,11.841452639670738,Logistic Regression
NM_018214,11.832436872524584,Logistic Regression
AK095460,11.818049856738734,Logistic Regression
NM_033034,11.811660293731174,Logistic Regression
AY079152,11.788581634557444,Logistic Regression
NM_000447,11.774220980123797,Logistic Regression
AF258573,11.763564561739134,Logistic Regression
AK000938,11.73697018293867,Logistic Regression
XM_068903,11.732260551545304,Logistic Regression
NM_020131,11.724469639195496,Logistic Regression
NM_152422,11.703465776277941,Logistic Regression
BC007112,11.698486447328428,Logistic Regression
BC016854,11.69549167665279,Logistic Regression
NM_000319,11.685276047359388,Logistic Regression
NM_006397,11.685196646588038,Logistic Regression
NM_022121,11.673023634936444,Logistic Regression
XM_928022,11.657254989311028,Logistic Regression
NM_001024732,11.644042508070738,Logistic Regression
NM_014803,11.623047325287093,Logistic Regression
BC009764,11.621648575334987,Logistic Regression
BC036672,11.60885429512737,Logistic Regression
AK125378,11.568207774714272,Logistic Regression
NM_144682,11.55605661751998,Logistic Regression
AK095025,11.550005274006233,Logistic Regression
BC101670,11.547862652080179,Logistic Regression
NM_012424,11.538470975914967,Logistic Regression
NM_153697,11.524168616435437,Logistic Regression
AK075561,11.520195016458413,Logistic Regression
BC016609,11.504198522107442,Logistic Regression
BC075051,11.495788473785225,Logistic Regression
AL831932,11.448669629825321,Logistic Regression
NM_001031703,11.448320505386533,Logistic Regression
NM_006860,11.445972296583808,Logistic Regression
BC012056,11.445269614319647,Logistic Regression
NM_000282,11.441423427712905,Logistic Regression
NM_032974,11.433525342722266,Logistic Regression
BC057761,11.42978855919742,Logistic Regression
NM_001037984,11.40737201267062,Logistic Regression
BC104901,11.355296618902285,Logistic Regression
AK130743,11.354494875010387,Logistic Regression
AB209512,11.342815204630911,Logistic Regression
XM_929506,11.327302920079475,Logistic Regression
BC017204,11.291056348463549,Logistic Regression
BC071166,11.278022087210674,Logistic Regression
NM_004829,11.27639459075091,Logistic Regression
AF409060,11.24812488272147,Logistic Regression
NM_144709,11.214616887080929,Logistic Regression
XM_377506,11.214147901442104,Logistic Regression
NM_199427,11.211090507131276,Logistic Regression
NM_001001132,11.18852040711187,Logistic Regression
NM_130390,11.180681376178432,Logistic Regression
NM_153328,11.171439155229862,Logistic Regression
NM_016543,11.160236059949163,Logistic Regression
BC075056,11.159618494586576,Logistic Regression
AK025510,11.157954672260447,Logistic Regression
AK094860,11.097208448326397,Logistic Regression
NM_007136,11.0772008582836,Logistic Regression
AY232656,11.074935042587875,Logistic Regression
NM_000197,11.03627500156573,Logistic Regression
