model,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.7567567567567568,0.75,0.7894736842105263,0.7692307692307693,0.8121345029239766
Logistic Regression,0.7567567567567568,0.7380952380952381,0.8157894736842105,0.775,0.8099415204678362
Linear SVM,0.7702702702702703,0.7560975609756098,0.8157894736842105,0.7848101265822784,0.7960526315789473
