sample_id,PC1,PC2,label
GSM1000000,-118.08216914144018,-51.733395271016526,Asthma
GSM1000001,-7.742278524405041,-45.4152911891457,Asthma
GSM1000002,-9.31906741078456,-66.03846034682034,Control
GSM1000003,89.03405888186917,-24.999899057464628,Asthma
GSM1000004,89.65103352372526,-22.734881858746785,Control
GSM1000005,107.99091993393323,-0.838449258033898,Control
GSM1000006,88.4122916567581,-35.301343135094854,Asthma
GSM1000007,64.69350983430205,-58.78585057091528,Asthma
GSM1000008,117.15682512003889,-44.50801617941741,Control
GSM1000009,-179.0920096430168,106.13103206276247,Control
GSM1000010,51.0901825545836,13.778330045977853,Control
GSM1000011,60.34880209731309,-33.76865311689245,Asthma
GSM1000012,-233.82794791747983,-25.220063198823087,Asthma
GSM1000013,-178.1104180668073,-68.67279909211378,Asthma
GSM1000014,153.15554550414132,66.24042114261223,Control
GSM1000015,-253.31216364456085,59.92974659611132,Control
GSM1000016,50.53762704271573,-33.98894428167202,Control
GSM1000017,111.20779460859457,23.822809687184574,Control
GSM1000018,8.09585140347065,25.162859497023423,Asthma
GSM1000019,114.88858863077549,76.28273504642914,Asthma
GSM1000020,-51.941001109346644,49.36760901409881,Control
GSM1000021,79.2304958980967,54.11132755442874,Asthma
GSM1000022,-96.96867799797003,-39.50728623026273,Control
GSM1000023,84.239806130861,13.519598051910151,Asthma
GSM1000024,60.73830728182537,3.2585974701263205,Asthma
GSM1000025,-65.3106542448766,-24.62852151218976,Control
GSM1000026,-174.52071120039338,7.946688303135173,Control
GSM1000027,-46.70734762419521,58.917352409165886,Control
GSM1000028,-327.9348898234919,71.6459328820377,Asthma
GSM1000029,-429.5732762928619,154.99502917838925,Asthma
GSM1000030,30.864008459157954,25.018580605385395,Control
GSM1000031,1.6433497422959096,-59.789434401630324,Control
GSM1000032,-30.429457635031614,-85.42425579479533,Asthma
GSM1000033,-89.1118452648034,-88.48484929097957,Control
GSM1000034,134.19358460862708,-35.30264283226051,Control
GSM1000035,88.74523107552224,-69.22924710558239,Asthma
GSM1000036,-84.51243531046077,-75.25617500591505,Control
GSM1000037,-250.35180203469253,-46.55726824235345,Control
GSM1000038,31.21039879624712,-59.89712540931413,Control
GSM1000039,66.7971685403708,-64.23738131623156,Control
GSM1000040,75.20441219960546,-19.89606178787008,Control
GSM1000041,91.8165468971621,-5.345270180321092,Control
GSM1000042,-35.01894955968623,-31.935870508936187,Control
GSM1000043,57.431896965945604,11.435281666997371,Control
GSM1000044,110.73100753100948,17.13161014538602,Control
GSM1000045,89.93390841257359,10.427086844491042,Asthma
GSM1000046,29.002670782949483,-57.9146629078325,Control
GSM1000047,-153.96981163406363,25.537632871310997,Control
GSM1000048,93.84975339220127,46.61720160437381,Control
GSM1000049,130.3157275933834,5.158772550716169,Control
GSM1000050,90.30009836764506,-15.592699676885672,Control
GSM1000051,87.76213732405084,-13.396641600905912,Asthma
GSM1000052,130.95505220828375,-15.086296307886965,Control
GSM1000053,79.94208199370995,-43.05132288514914,Control
GSM1000054,18.917339802859832,-68.06517076008062,Control
GSM1000055,13.253409734686338,53.92115247002748,Control
GSM1000056,31.788767922989972,-95.05453879542648,Control
GSM1000057,-119.8211790719848,11.93176841907002,Control
GSM1000058,121.63532846632951,14.514496890429673,Asthma
GSM1000059,-204.68785166175593,86.1238175051757,Control
GSM1000060,-106.26972480669569,-86.15273297505729,Control
GSM999867,-242.1676440343467,111.23167009029716,Asthma
GSM999868,-28.970269703247066,43.62099886257259,Asthma
GSM999869,-10.707254586137894,29.768037806500352,Asthma
GSM999870,-25.77414386739893,29.653331854462483,Asthma
GSM999871,103.5588184816254,50.776234731638105,Asthma
GSM999872,-55.55575823462761,1.4692664737774752,Asthma
GSM999873,8.723469261289585,-1.8624037840102818,Control
GSM999874,-261.3728640132404,29.965149756785724,Control
GSM999875,-14.117654198393224,-34.59175705930963,Asthma
GSM999876,-69.70576676944499,-46.45643551309096,Asthma
GSM999877,50.800173829335556,-54.06832036100491,Asthma
GSM999878,-63.181354098641734,-45.008739815458235,Asthma
GSM999879,113.54050820847678,21.94480478263954,Control
GSM999880,-56.85543194172436,-48.011903261723084,Control
GSM999881,90.80984346156696,-27.53204446449922,Asthma
GSM999882,81.16523661352865,-28.00013745562843,Control
GSM999883,19.931068584363892,13.145338713644664,Asthma
GSM999884,111.96768545649837,7.753886151001319,Asthma
GSM999885,-164.69364485905234,-45.314773215032965,Control
GSM999886,-185.5116193036287,-42.7989503416568,Asthma
GSM999887,-221.9870792696054,-51.444828621240134,Control
GSM999888,171.82811323100785,88.45441758276141,Asthma
GSM999889,55.94221864797523,-25.2323127787264,Control
GSM999890,162.30542923347173,27.750288753347615,Control
GSM999891,103.34282795918016,-26.135348265296454,Control
GSM999892,77.97708676659946,-15.221591678932358,Control
GSM999893,87.1029022994457,-35.04452832778975,Control
GSM999894,-3.2686989676493443,-74.50226153954387,Control
GSM999895,94.40279432071799,-55.62379896970242,Control
GSM999896,105.92510545322787,-44.24818509860126,Control
GSM999897,96.39602124847055,-17.1617054196926,Asthma
GSM999898,108.51207881579485,-23.65752235006025,Control
GSM999899,-76.1322885137877,-25.900363014739863,Control
GSM999900,82.37937743567906,-22.223742383976226,Control
GSM999901,28.13520169964598,-70.96387665713638,Asthma
GSM999902,107.01163903918561,-14.236339527721535,Asthma
GSM999903,146.05698177744623,11.351442118032594,Asthma
GSM999904,-70.44549636643079,-80.6008261982877,Control
GSM999905,113.3885588159952,26.35407241528307,Control
GSM999906,31.659868684843435,-38.71519620212699,Control
GSM999907,124.22080597146766,7.820867140573307,Asthma
GSM999908,-265.53993132338934,-31.55491509586213,Control
GSM999909,120.70118834222592,-18.558713432545648,Asthma
GSM999910,-83.31999434149168,90.96578466994507,Control
GSM999911,138.26559929340283,69.52808370728137,Control
GSM999912,84.60999041554533,-2.7924891328646755,Control
GSM999913,-67.30825695953273,-49.31084170754524,Control
GSM999914,-233.69673443472507,98.38712498640183,Asthma
GSM999915,-7.796890857953988,-83.0749020404896,Asthma
GSM999916,-46.43594842418804,44.51590271207104,Control
GSM999917,-33.15939989034663,-88.30328732614583,Control
GSM999918,-46.654242922064626,-64.85856221591452,Control
GSM999919,-170.54987709557588,-70.2118965648974,Control
GSM999920,-139.01086747290185,37.022793000395616,Control
GSM999921,124.67394509508281,40.40297250529794,Asthma
GSM999922,107.12940213964683,5.691500611420741,Asthma
GSM999923,52.88850758678459,-12.695138358179163,Asthma
GSM999924,50.122601560228496,-54.60675842269463,Control
GSM999925,92.45084221497753,-35.57401768228434,Asthma
GSM999926,69.67352527587785,-29.856635037877005,Control
GSM999927,45.56874727001057,-29.030131475738667,Asthma
GSM999928,186.46835974975502,64.5567824545804,Asthma
GSM999929,-75.72147516690796,-61.999855958651025,Asthma
GSM999930,63.27902818343615,43.38011883741293,Asthma
GSM999931,-302.4673488529352,125.91920240784452,Control
GSM999932,-238.50418293292051,63.81587414793168,Asthma
GSM999933,-296.4313783615936,79.42282145229012,Asthma
GSM999934,-91.59381885461964,6.950407294668688,Asthma
GSM999935,141.43335335223668,140.76530644591818,Asthma
GSM999936,-25.118021768695623,92.33278506105641,Control
GSM999937,17.229906064904952,69.97890888099855,Control
GSM999938,157.82593581406218,113.8819011185193,Asthma
GSM999939,108.5677376770456,65.4747087908807,Asthma
GSM999940,29.656982154565945,-69.99671120986642,Asthma
GSM999941,115.07777974474182,56.323703503797574,Asthma
GSM999942,23.71640506226637,-39.42189195818486,Control
GSM999943,-28.723273641662132,47.250583203131704,Asthma
GSM999944,33.15762344908629,-47.76086276455702,Asthma
GSM999945,2.9500961596126847,11.323940818392593,Asthma
GSM999946,167.68064717862768,89.44421653718182,Control
GSM999947,138.10334024812371,82.95053141103091,Asthma
GSM999948,-6.685112821212442,-26.11068042295704,Asthma
GSM999949,88.20512797468153,1.341534201022751,Asthma
GSM999950,161.8167015197306,70.46716327223155,Asthma
GSM999951,131.77926540581325,71.94691656043706,Asthma
GSM999952,-22.139333542533013,-32.491784434138935,Asthma
GSM999953,-117.18019526055872,-91.69913186215877,Asthma
GSM999954,117.02762257059187,-24.565171006660698,Control
GSM999955,112.12646561879546,18.89182619180025,Asthma
GSM999956,37.10874979042932,14.493850297947379,Asthma
GSM999957,130.13533841584447,37.21973604236355,Asthma
GSM999958,101.61147364413708,50.66418846129695,Control
GSM999959,201.54344827827921,131.56061148606028,Control
GSM999960,74.05374226905313,24.276803143026513,Control
GSM999961,93.13578562557208,-13.063114069592597,Asthma
GSM999962,167.55910670203394,78.18045161783536,Control
GSM999963,115.89231276597796,10.28725484617143,Asthma
GSM999964,-37.29415538783953,-28.731209589084223,Asthma
GSM999965,161.7214982519522,40.68680088223219,Asthma
GSM999966,-320.64791467520104,114.72649055977799,Asthma
GSM999967,-84.73372746131507,-43.032903782218455,Control
GSM999968,-375.8308554885395,57.36048234898906,Asthma
GSM999969,-207.48796730267506,-62.1101470784263,Asthma
GSM999970,15.653585746783186,-58.97975487880785,Control
GSM999971,182.42440280533955,133.21616413338532,Control
GSM999972,143.05175415396621,2.6108180827214804,Control
GSM999973,74.65975557843579,-29.502204359979817,Asthma
GSM999974,156.038237792305,18.350217509234582,Control
GSM999975,-162.57349317222528,-61.776813441478566,Asthma
GSM999976,-273.92934620427894,9.570765905352454,Control
GSM999977,-85.59505413306566,72.97398277670293,Asthma
