feature,f_classif_score,model
CHRDL1,6.380492605535487,Random Forest
NAPRT,6.379126737693568,Random Forest
TNMD,6.3737151620164605,Random Forest
RBP7,6.371813105222584,Random Forest
DZIP3,6.359527319583152,Random Forest
ZNF207,6.354925854334788,Random Forest
CLK4,6.354309446692095,Random Forest
CDH6,6.340082739344317,Random Forest
TRIM7,6.339984687446836,Random Forest
PPIG,6.337017344340888,Random Forest
LMLN,6.327681850641782,Random Forest
RARB,6.322145708818985,Random Forest
GYPC,6.304743791822621,Random Forest
ORMDL3,6.274944353516617,Random Forest
IRF1,6.270668399047143,Random Forest
ZNF266,6.262819242865723,Random Forest
NLGN1,6.256809771761809,Random Forest
THUMPD3,6.255976658233613,Random Forest
LHFPL1,6.2513855712336825,Random Forest
JUP,6.241506284929321,Random Forest
UBE2T,6.218444516055173,Random Forest
PKHD1L1,6.208629088846786,Random Forest
KDM3B,6.165743519156008,Random Forest
ZNF791,6.1542687357713115,Random Forest
GLRX3,6.151710055187648,Random Forest
FAM120B,6.146982650458379,Random Forest
CENPC,6.1366712710807105,Random Forest
ABCA5,6.131805527368566,Random Forest
KATNB1,6.12064031407048,Random Forest
HSPBP1,6.099161652633329,Random Forest
PMVK,6.098807156531708,Random Forest
A1CF,6.0950050976165215,Random Forest
TP53AIP1,6.093125966486394,Random Forest
BCL2L15,6.089114182100944,Random Forest
GCNT4,6.068333782548343,Random Forest
LYG1,6.058932998760861,Random Forest
MORN5,6.055989488564027,Random Forest
IFNB1,6.0260226339331355,Random Forest
RTKN,6.025802391082468,Random Forest
SMARCB1,6.017535783392823,Random Forest
GZMH,6.0147631850970305,Random Forest
EP300,6.0135112651003215,Random Forest
KAT7,6.007107310978977,Random Forest
CHD2,5.99715835049884,Random Forest
SPA17,5.98558793716888,Random Forest
NDUFB3,5.982842300281857,Random Forest
BCHE,5.982272374424908,Random Forest
RABEPK,5.980746057903449,Random Forest
MS4A2,5.978726680427291,Random Forest
SPATA20,5.976400916626625,Random Forest
ZBTB24,5.968229625280914,Random Forest
DYNC2LI1,5.965650671382689,Random Forest
NDUFAF7,5.964137453141521,Random Forest
OTUD6B,5.949995123235306,Random Forest
CBLN2,5.92953690205197,Random Forest
DNAH6,5.92937865193901,Random Forest
CAP2,5.92795629585724,Random Forest
LMAN2L,5.918486354675254,Random Forest
BCL2L11,5.913470612422353,Random Forest
LGALS8,5.876275796929682,Random Forest
YY1AP1,5.873945956606299,Random Forest
MICALL2,5.845476318718627,Random Forest
SLC52A2,5.843919581726651,Random Forest
SENP7,5.838273283320951,Random Forest
PTGS2,5.8297793628827845,Random Forest
AHSG,5.829088146640218,Random Forest
LCA5,5.819401901203557,Random Forest
IRF2BP2,5.813212431652851,Random Forest
ASRGL1,5.810024140166124,Random Forest
KRT40,5.806492086469267,Random Forest
OAS1,5.80450618761029,Random Forest
UGT1A1,5.773753956819661,Random Forest
GEMIN6,5.7685905833648174,Random Forest
HS6ST2,5.761506725399014,Random Forest
INO80,5.7613484683765055,Random Forest
DNAJC12,5.7605178205111605,Random Forest
TPBG,5.759674838576406,Random Forest
SF1,5.750850602834802,Random Forest
ZNF148,5.747062470377808,Random Forest
DNER,5.74220372189648,Random Forest
GRP,5.7369832726062775,Random Forest
BRD8,5.728200552050113,Random Forest
DHX9,5.694712839226273,Random Forest
IRF6,5.676968791387743,Random Forest
ELL3,5.673221715587866,Random Forest
PORCN,5.670343670592777,Random Forest
ARRDC3,5.640003394999311,Random Forest
SRP14,5.633281028301882,Random Forest
KLHDC9,5.625448524685274,Random Forest
TFIP11,5.615345523332722,Random Forest
GPX4,5.599042503579245,Random Forest
DNAH12,5.594670421409971,Random Forest
LDOC1,5.581605113920253,Random Forest
FBXO16,5.575161473948437,Random Forest
SF3A3,5.567242938913545,Random Forest
MCM3,5.562250864227471,Random Forest
SNX13,5.549503755079365,Random Forest
TCEAL1,5.539501909468366,Random Forest
ENSA,5.5299729202680235,Random Forest
LRRC49,5.519327555324635,Random Forest
TOPORS,5.473100249214777,Random Forest
DLG3,5.470200770093671,Random Forest
RNFT2,5.467451082468551,Random Forest
RUSC1,5.464110698547341,Random Forest
PTK2,5.458105512630897,Random Forest
RPLP2,5.4547706774707905,Random Forest
ALS2CL,5.436071916165002,Random Forest
FGFBP2,5.4341975964021945,Random Forest
KCNH7,5.4310065076374014,Random Forest
HELZ,5.42900461037765,Random Forest
RBM26,5.420460884535328,Random Forest
AGBL2,5.408916055194913,Random Forest
DYNC1H1,5.371429876623293,Random Forest
FEM1B,5.370607272513638,Random Forest
NOL3,5.366792829711769,Random Forest
IGSF1,5.360120747972717,Random Forest
BTBD6,5.352402962452612,Random Forest
GPBP1,5.34979866877863,Random Forest
IQCD,5.346074638443282,Random Forest
SLC27A3,5.342404472593275,Random Forest
HERPUD2,5.340274168517966,Random Forest
TRDN,5.327816005046495,Random Forest
DDX20,5.320493648072574,Random Forest
FAM133B,5.311987247975788,Random Forest
FOXR2,5.30800527312013,Random Forest
KIF19,5.305592941497893,Random Forest
ROS1,5.30162148222826,Random Forest
DCX,5.289082268123393,Random Forest
PASD1,5.286947554812862,Random Forest
CD40,5.2863828586457,Random Forest
ST6GAL2,5.2822127255397096,Random Forest
TMEM160,5.278846216334391,Random Forest
LRRC36,5.273192672837449,Random Forest
TMEM47,5.259917076913349,Random Forest
BOD1L1,5.2579299092292295,Random Forest
RNF181,5.252892216398152,Random Forest
MCEMP1,5.242974854729852,Random Forest
PHYHIPL,5.240139105412441,Random Forest
CHL1,5.238466333705946,Random Forest
ZBTB44,5.235877160838215,Random Forest
GPBP1L1,5.235433803328946,Random Forest
GAPVD1,5.228333661431886,Random Forest
CREBL2,5.22129421636725,Random Forest
LSG1,5.219316399564927,Random Forest
KLRB1,5.215210829366756,Random Forest
RPS27A,5.207198375771943,Random Forest
ING5,5.197942221597844,Random Forest
IRF7,5.186112813088186,Random Forest
LRRC1,5.171624346146582,Random Forest
CTNNAL1,5.1702788416390195,Random Forest
SLC25A22,5.165628366771403,Random Forest
PABPC3,5.164309887023532,Random Forest
CXCR6,5.158095813738792,Random Forest
ZNF473,5.156563626568206,Random Forest
ZNF91,5.156215615180054,Random Forest
PCDH19,5.155541334213777,Random Forest
TFF1,5.149233261409723,Random Forest
OR8D2,5.133626541602091,Random Forest
NRG1,5.128506285556469,Random Forest
SELL,5.128333942201162,Random Forest
MCF2,5.121424657438144,Random Forest
GLYR1,5.1182523923409695,Random Forest
CREB5,5.117491760857625,Random Forest
KLHL1,5.114831647583569,Random Forest
FGF16,5.113014118927556,Random Forest
BTBD8,5.111060490605725,Random Forest
RNMT,5.108973081935733,Random Forest
C1orf174,5.096923395478896,Random Forest
HPSE,5.092803084654568,Random Forest
CLCNKB,5.088426126675565,Random Forest
SCG3,5.087964874750308,Random Forest
APOLD1,5.0854230065772175,Random Forest
BBS10,5.0829538720662555,Random Forest
HNRNPUL1,5.082691657760476,Random Forest
FERMT1,5.072061701805342,Random Forest
ZNF182,5.065427629162629,Random Forest
CDH19,5.0541013462750835,Random Forest
IST1,5.051127735849266,Random Forest
MKNK2,5.050254562120931,Random Forest
HLA-DQB2,5.0428402377205535,Random Forest
IRAK2,5.0382012541653065,Random Forest
DUSP3,5.026806085655736,Random Forest
IGFBPL1,5.024634795674635,Random Forest
CNP,5.018514593824972,Random Forest
SMAD3,5.013875796971773,Random Forest
PLA2G7,5.009109336940322,Random Forest
HYOU1,5.0068336036536545,Random Forest
SAGE1,4.998476412693292,Random Forest
IFT27,4.979661384929718,Random Forest
HTRA4,4.973337711333646,Random Forest
KATNAL1,4.969711904475126,Random Forest
GNPTAB,4.969149599846903,Random Forest
ARPP21,4.967445376929315,Random Forest
EPHX4,4.96242460076105,Random Forest
CXCL13,4.962022985983382,Random Forest
SF3B1,4.9555121367988475,Random Forest
ZC3H13,4.944764920799415,Random Forest
LRWD1,4.9432062690364145,Random Forest
ELK4,4.942194974939257,Random Forest
XAF1,4.933469319980347,Random Forest
SETD2,4.9331826196731035,Random Forest
HOXC11,4.9323196738421515,Random Forest
ZNF584,4.930286316866625,Random Forest
XIRP2,4.926365714122761,Random Forest
NKTR,4.917521274722276,Random Forest
CPSF6,4.913314405560763,Random Forest
CEP250,4.897339966752833,Random Forest
HRK,4.8921750160022,Random Forest
BCL11B,4.879594674136011,Random Forest
SDR16C5,4.8704430951288655,Random Forest
C4orf33,4.8559184778055675,Random Forest
OGFRL1,4.8545336169329865,Random Forest
TRIM16,4.846964619390583,Random Forest
RAB25,4.846163201556799,Random Forest
PDK4,4.843510593745244,Random Forest
EIF3E,4.822238322298234,Random Forest
MMP13,4.81323813023365,Random Forest
SPOCK2,4.800031716413347,Random Forest
SLC17A5,4.793556928257051,Random Forest
PRDX6,4.785605171692182,Random Forest
