model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.5641025641025641,0.5555555555555556,0.5263157894736842,0.5405405405405406,0.5736842105263158
Linear SVM,0.5641025641025641,0.5625,0.47368421052631576,0.5142857142857142,0.5605263157894738
Random Forest,0.5128205128205128,0.5,0.3684210526315789,0.42424242424242425,0.5394736842105263
